idVenta,idSucursal,idVehiculo,idEmpleado,idCliente,edadCliente,generoCliente,fechaVenta,totalVenta,diasRenta
1,7,40,42,49170d39-a4bf-4c1f-a274-ae2fb685d384,50,Female,19/5/2023,$16190.89,33
2,9,5,35,932aa9c6-a771-4643-9bc1-92fd3f440343,65,Female,21/2/2023,$1436.32,78
3,8,21,36,c38a575b-2e3f-49e3-944f-4178478d8b97,42,Male,29/8/2022,$2298.21,75
4,4,33,20,9c9f30a4-54bf-4114-b977-b4c8f4bba0fb,39,Male,26/4/2023,$10581.06,94
5,8,35,31,3097d60e-bc81-4cc8-b393-b8609aac4fc8,29,Female,2/1/2023,$16954.69,32
6,9,18,41,b0b86791-a79e-4de1-8ceb-68cb9cc62602,63,Female,3/6/2023,$19902.72,21
7,1,34,34,f2877037-5603-4b47-8419-49a33fde5c56,50,Male,18/4/2023,$8270.32,24
8,10,36,14,fb769fe4-f8b3-4b6a-b9f9-2f461bfa5750,37,Male,30/9/2022,$17998.79,93
9,5,13,45,54623245-1208-4aaf-89de-3cad4d18e49f,62,Female,13/3/2023,$8051.72,33
10,8,17,37,2d12df01-c161-4c7e-a7d4-02a84911007c,30,Female,23/5/2023,$6252.97,20
11,4,23,25,529a0538-173d-4715-b5b5-ce6de2d02d5d,45,Female,9/12/2022,$11910.70,32
12,8,11,23,801e7965-84bd-4c39-a54d-59bbb0e120a9,64,Female,17/2/2023,$19706.06,81
13,6,14,21,aecd4ac0-bcbf-409c-b64b-6f816414f0ac,71,Female,12/2/2023,$18912.58,45
14,5,16,24,e398cfd6-0046-418f-8f83-1b29b8489cab,39,Male,24/5/2023,$19722.63,26
15,5,12,25,8d40aa70-977d-4084-89ec-19bc2ffed66a,54,Male,25/11/2022,$12358.93,98
16,3,6,36,9bede7d6-68f9-4c6d-9812-7876e14e627a,29,Female,9/12/2022,$8212.42,35
17,9,34,48,e43f532c-14ec-4c75-8840-9777d5b1ed17,53,Male,17/11/2022,$12697.89,13
18,1,39,22,68d3cba1-901f-47b6-a51b-7f1c8ba4a935,21,Male,11/7/2022,$2148.43,72
19,8,33,1,0dd20bde-fc72-45f7-a61e-c7d169c6b45f,30,Male,10/4/2023,$3470.32,44
20,10,31,4,f968a818-b128-45a6-a545-98aceb9b758d,71,Female,16/8/2022,$2707.01,36
21,10,11,6,5cfa789d-3f80-4f38-b65c-b530647edd63,40,Female,14/11/2022,$4623.78,23
22,4,21,7,5c06599d-700d-414d-a836-10d0dfd1c7fa,58,Female,29/9/2022,$4466.60,33
23,8,7,41,e3c3da57-6221-4936-a8a0-7b56b67ef1ac,38,Female,18/2/2023,$6567.07,73
24,7,17,49,0f0a175c-2b17-45ce-980d-aa18f5d8e250,26,Male,16/10/2022,$7177.23,47
25,2,10,15,ffcf880c-e046-4bb3-a79c-cc5e63f89e12,50,Male,10/11/2022,$14245.97,67
26,4,14,40,7d61d19c-bb90-45d6-9965-afa08d684fa8,38,Female,18/8/2022,$1999.55,51
27,1,24,37,52db6f67-32e1-40da-8af9-05d482abf786,37,Female,4/9/2022,$4560.76,22
28,9,9,7,d9547ad9-492f-438b-bf29-783494263f76,50,Male,31/8/2022,$6351.11,56
29,3,37,18,70bf0936-622d-4431-b0b8-3ce75b4e8583,36,Male,12/10/2022,$3656.51,79
30,7,17,2,4c2ad4a4-a8c8-4b51-9a36-afccee085329,54,Female,26/3/2023,$17901.43,97
31,7,36,20,749d719f-8967-4274-a4dc-9d51c3addc07,63,Female,21/5/2023,$13038.45,7
32,3,31,12,5030059a-4acb-499b-802a-00fefb0c22e8,53,Female,30/9/2022,$4664.82,28
33,4,23,37,0149a6b0-cd48-499f-8988-114e57760b20,46,Male,4/5/2023,$6270.45,39
34,1,3,24,8e636d04-646c-4a8e-ab74-8536655d424c,26,Female,22/7/2022,$12894.29,57
35,10,24,24,5f750d32-0782-4f50-8a7a-66b79e954c2a,27,Male,8/11/2022,$10889.55,93
36,7,9,20,431c7801-6ffd-407b-8605-40e71699104e,41,Female,8/12/2022,$13443.87,42
37,3,37,25,8f713f06-b20b-45cd-bf06-ee1c2b289a9e,59,Male,21/8/2022,$13554.84,44
38,10,8,30,be9ce8be-6733-4e0a-8724-c2886e3d8228,74,Male,18/9/2022,$10708.21,76
39,7,3,20,20c32160-0eee-4842-8bcb-1c32049081a9,68,Female,5/7/2022,$9913.40,33
40,6,22,27,6a679200-5a4c-4e43-aa44-103d0944c019,54,Female,21/9/2022,$11049.20,82
41,7,4,3,427c0355-1f49-4696-a2e8-e37e37e395ec,24,Female,29/10/2022,$1747.59,39
42,3,13,36,d3d381c4-8cf7-4461-abef-44f8ba3e034d,32,Male,17/10/2022,$5401.18,85
43,3,40,26,75255200-59e8-4d06-9e1b-ac32892d56d5,34,Female,11/9/2022,$9200.15,46
44,2,8,8,672330f1-83b4-4e24-98ef-16dd89225e12,29,Male,12/9/2022,$2492.10,20
45,7,18,5,b663699c-01ed-40fb-80f3-621a410db0e9,40,Male,25/8/2022,$16222.71,97
46,2,14,1,d0cad0c1-a770-470f-b8b9-e1cf6d1cf38e,64,Male,9/5/2023,$3228.91,72
47,5,14,35,4a4643b1-aedd-4e79-acee-dd4c400e7923,61,Female,16/1/2023,$4038.27,10
48,10,37,45,90ac51d0-b76a-480b-b76a-391a5cb4381c,44,Male,28/11/2022,$11490.44,35
49,5,24,19,8fa40815-53a0-487f-879f-b6c06db5d494,69,Male,26/1/2023,$11416.82,74
50,8,4,35,08e937a9-5e1c-4490-9ac4-2838b3d0a911,66,Female,2/3/2023,$6607.12,13
51,6,29,41,3e5ab190-67c8-4093-968b-7fd828abdabb,58,Male,26/1/2023,$3268.82,97
52,5,16,12,9c23f17f-7d64-4632-a3fd-9c6cfbbc4f6a,56,Male,28/8/2022,$11982.65,83
53,8,36,6,3f7640a8-3d01-433b-93cf-32b5eea292bb,48,Female,2/11/2022,$10388.33,16
54,3,3,2,ed423a90-eeee-4d9e-a9e4-7fad5cb2b972,59,Female,8/3/2023,$17182.90,16
55,8,14,20,bb04fb55-9038-468a-bf7c-a5c98bc211ea,57,Male,30/3/2023,$12942.17,37
56,1,39,23,10a293be-9f4c-4c0c-986b-c462aea9e4e4,60,Male,8/11/2022,$14320.52,15
57,9,2,34,262b8065-0bd9-421a-9c95-332e740b6529,39,Male,10/5/2023,$8226.80,66
58,6,31,21,b656d0a2-def9-4364-acfd-9567c7d6adf5,74,Female,3/6/2023,$1539.41,21
59,5,5,13,eda4d061-5c45-4b9f-a1f3-18d92c594c72,68,Male,23/7/2022,$4838.62,95
60,9,36,36,0c3d557e-b8e2-4bb6-9b5b-a5906509c212,60,Male,14/6/2023,$12619.86,62
61,6,15,20,9c266fa4-f423-409b-bd78-85b6e6bc2c2f,43,Male,27/4/2023,$18734.03,69
62,9,23,12,f89f099d-e6a6-400e-8a0e-cac287128e32,59,Female,5/11/2022,$19419.73,70
63,1,11,9,0b87051c-7fdf-41f1-9e7a-bd6dd11bd56d,57,Female,24/9/2022,$1624.71,18
64,6,29,7,9fb2c262-3e90-4400-a622-dbee7e2aafe2,68,Female,16/7/2022,$13230.66,57
65,4,13,37,224b7439-3969-489d-996d-788cd896691b,32,Male,15/11/2022,$9391.43,48
66,4,33,14,3e0a88a9-2d90-493e-b800-e1c2a5e30b20,22,Male,25/10/2022,$1103.54,16
67,2,38,44,3d992a14-d8c1-4151-b912-59c85b77baea,46,Male,9/2/2023,$9694.87,54
68,1,26,30,63c2d560-0c2b-4c81-b600-75f9bd2b99ef,52,Female,22/10/2022,$2357.14,63
69,3,11,41,99fdd5b6-b011-4afc-938f-252c8198ec22,62,Male,23/5/2023,$3694.25,20
70,5,26,20,4b71b409-10ca-4879-bd63-2078b63cc29c,50,Female,11/12/2022,$9960.50,40
71,5,8,24,1c03006b-0432-4e1e-856a-c9a744d38ba1,73,Female,8/5/2023,$11272.84,78
72,1,24,38,07d195e5-d37a-4dea-95a4-b55fadb207d8,63,Male,13/12/2022,$13113.83,92
73,10,2,26,06dd98eb-8630-4da1-843e-32118939f1f5,45,Female,15/2/2023,$12445.20,92
74,10,33,15,810014e3-579e-4ce9-ba92-457a55af1678,57,Male,18/9/2022,$11139.19,75
75,3,25,28,e29fcc5b-9b22-456e-9a78-411551fc6d44,48,Male,27/5/2023,$3514.73,97
76,9,40,9,30f18dec-4b09-4756-8867-fa11110a43eb,62,Male,26/8/2022,$3428.00,2
77,7,40,43,87022a5b-928e-4f0c-b31e-1b9a7aa51166,61,Male,26/7/2022,$1779.02,56
78,4,12,47,67ab8464-0e0b-4eb5-8cab-39aae1c4e38c,56,Male,8/9/2022,$19038.92,9
79,6,13,5,df78a334-8855-4abe-9bdd-7e334605e358,31,Female,22/1/2023,$16505.30,9
80,9,8,1,e5d0b0a9-7d59-41d9-80a8-387eee2947bf,48,Male,11/4/2023,$3731.20,32
81,8,10,49,46c12333-6817-4199-995a-a1b24d35b81a,56,Male,26/10/2022,$11770.46,78
82,7,22,22,6df1f31c-62fa-48f3-9ab7-d98fd84dd140,25,Female,14/1/2023,$4697.29,20
83,4,29,27,ad6defb7-5b27-42fa-bea2-36a8188f76dc,69,Male,17/4/2023,$3321.99,33
84,5,3,19,a94456bf-d3b5-4137-bb11-81b2bc76bb8f,49,Female,23/3/2023,$15142.46,93
